"","Week_end","Responses","Self_Report","Other_Report","Vaccinated_Respondents","Total_Respondents","Clinical_Staff","Clinical_Staff_Vaccinated","ILI_Vaccinated","ILI_Unvaccinated","ILI_wAbsence_Vaccinated","ILI_wAbsence_Unvaccinated"
"75",2013-08-11,"14799","9547","5252","8859","14797","3072","2394","2.7%","3.5%","1.7%","2.3%"
"76",2013-08-18,"14638","9478","5160","8787","14636","3034","2377","3.2%","3.9%","1.8%","2.4%"
"77",2013-08-25,"14741","9504","5237","8818","14741","3046","2389","3.1%","4.4%","1.9%","2.6%"
"78",2013-09-20,"14546","9360","5186","8706","14545","2974","2342","2.8%","4.0%","1.7%","2.4%"
"79",2013-09-20,"14473","9342","5131","8671","14465","2957","2321","2.5%","3.0%","1.5%","1.7%"
"80",2013-09-15,"14623","9432","5191","8756","14614","2982","2344","2.6%","2.7%","1.6%","1.7%"
"81",2013-09-22,"13936","9021","4915","8369","13926","2843","2237","2.2%","2.5%","1.4%","1.5%"
"82",2013-09-29,"13392","8740","4652","8103","13389","2753","2155","2.1%","2.7%","1.2%","1.6%"
"83",2013-10-20,"13911","8977","4934","8313","13909","2870","2244","1.8%","2.6%","1.0%","1.7%"
"84",2013-10-13,"14197","9207","4990","8561","14195","2930","2304","1.7%","2.0%","0.9%","1.1%"
"85",2013-10-20,"13689","8843","4846","8180","13680","2772","2170","1.6%","1.7%","1.0%","0.9%"
"86",2014-07-13,"15414","9676","5738","8986","15413","3033","2385",NA,NA,NA,NA
"87",2015-10-18,"20382","12500","7882","12756","20382","4188","3413","1.5%","1.5%","0.9%","0.9%"
"88",2016-05-01,"20280","12347","7933","8045","20280","3942","2310","1.7%","2.4%","1.0%","1.3%"
"89",2016-05-08,"22057","13290","8767","8829","22057","4276","2543","1.4%","1.6%","1.1%","1.1%"
"90",2016-05-15,"22856","13749","9107","9206","22856","4413","2629","2.0%","1.9%","1.5%","1.4%"
"91",2016-05-22,"22888","13820","9068","10664","22888","4442","2964","1.7%","2.2%","1.5%","1.7%"
"92",2016-05-29,"23130","13899","9231","11798","23130","4483","3208","1.8%","2.5%","1.1%","1.5%"
"93",2016-06-05,"22928","13809","9119","13218","22928","4447","3473","1.9%","2.3%","1.3%","1.5%"
"94",2016-06-12,"22451","13570","8881","13198","22451","4375","3452","1.8%","2.3%","1.0%","1.3%"
"95",2016-06-19,"22846","13796","9050","13524","22846","4479","3550","2.0%","2.0%","1.3%","1.3%"
"96",2016-06-26,"22476","13639","8837","13465","22476","4441","3545","1.7%","2.0%","1.1%","1.4%"
"97",2016-07-03,"22704","13751","8953","13528","22704","4450","3528","2.0%","2.5%","1.3%","1.6%"
"98",2016-07-10,"22463","13679","8784","13513","22463","4364","3484","2.1%","2.1%","1.4%","1.5%"
"99",2016-07-17,"22998","13905","9093","13761","22998","4488","3579","2.2%","2.0%","1.5%","1.3%"
"100",2016-07-24,"23174","14014","9160","13916","23174","4531","3604","1.9%","2.3%","1.3%","1.5%"
"101",2016-07-31,"23285","14048","9237","13941","23285","4562","3631","2.1%","2.6%","1.4%","1.8%"
"102",2016-08-07,"23220","14005","9215","13993","23220","4545","3651","2.0%","2.7%","1.5%","2.0%"
"103",2016-08-14,"23204","14010","9194","14012","23204","4547","3647","2.3%","3.2%","1.7%","2.3%"
"104",2016-08-21,"23075","13930","9145","13990","23075","4518","3631","2.3%","3.1%","1.8%","2.3%"
"105",2016-08-28,"23026","13891","9135","13976","23026","4513","3639","2.5%","3.1%","1.7%","2.2%"
"106",2016-09-04,"22568","13615","8953","13684","22568","4426","3563","2.4%","3.0%","1.8%","2.2%"
"107",2016-09-11,"22649","13649","9000","13672","22649","4430","3541","2.3%","2.9%","1.6%","2.2%"
"108",2016-09-18,"22289","13496","8793","13565","22289","4364","3523","2.1%","2.5%","1.6%","1.8%"
"109",2016-09-25,"21289","13033","8256","13054","21289","4210","3395","1.8%","2.2%","1.3%","1.6%"
"110",2016-10-02,"21462","13073","8389","13154","21462","4214","3395","1.8%","2.0%","1.4%","1.4%"
"111",2016-10-09,"22046","13396","8650","13396","22046","4319","3478","1.7%","1.6%","1.2%","1.1%"
"112",2016-10-16,"22767","13718","9049","13740","22767","4462","3581","1.4%","1.4%","1.0%","0.8%"
"113",2017-04-30,"22176","13273","8903","8109","22176","4114","1961","1.5%","2.0%","0.9%","1.0%"
"114",2017-05-07,"23459","14053","9406","10455","23459","4398","2530","1.3%","1.4%","0.8%","0.8%"
"115",2017-05-14,"23995","14381","9614","11854","23995","4553","2920","1.6%","1.7%","1.0%","1.1%"
"116",2017-05-21,"24351","14569","9782","13050","24351","4593","3225","1.6%","2.2%","1.0%","1.4%"
"117",2017-05-28,"24590","14682","9908","13811","24590","4677","3487","1.6%","1.8%","1.1%","1.3%"
"118",2017-06-04,"24330","14570","9760","14123","24330","4606","3528","1.6%","2.2%","1.0%","1.4%"
"119",2017-06-11,"24199","14465","9734","14297","24199","4580","3577","1.6%","1.8%","1.0%","1.3%"
"120",2017-06-18,"24637","14802","9835","14781","24637","4664","3693","1.6%","2.1%","1.0%","1.4%"
"121",2017-06-25,"24526","14803","9723","14865","24526","4615","3682","1.7%","2.0%","1.1%","1.3%"
"122",2017-07-02,"23603","14375","9228","14540","23603","4468","3571","1.8%","2.1%","1.2%","1.4%"
"123",2017-07-09,"23675","14455","9220","14689","23675","4417","3542","2.0%","2.5%","1.2%","1.6%"
"124",2017-07-16,"21621","13177","8444","13495","21621","3947","3164","2.0%","2.3%","1.5%","1.5%"
